Briefly Brevemente
Reimbursement Reembolso
Task Tarefa
Role Funcao-Papel
Often Frequentemente
Drawing Desenhando-Tracando
Bedsheets Lencois
String Corda-Fila-Barbante
Root Raiz
Powder Po
Youth Juventude
Wears Usa-Veste-Calca
Couple Casal-Par
Also Tambem
Such Tais
Busy Ocupado
Dishes Pratos-Louca
Chair Cadeira
Blouse Blusa
Departure Partida
Abroad No-Esterior
Spoons Colheres
Average Media
Amount Quantia
Majority Maioria-MaiorParte-Majorit�rio
Close Fechar-Perto
Road Estrada
Past AlemDo-ParaAlemDe
Noise Barulho
Signs Assina
Assumes Supor
Seemed Parecia
Used Acostumava-Usava
Fit Caem
Rest Descansar
Warm Quente
Vacations Ferias
Waiters Garcons
Movie-Theater Cinema
Blanket Coberta-Cobertor
Enjoy Curto
Waste Desperdicio-Inutil
Spoil Estragar-Deteriorar
Snub Repulsa-Menosprezar
Either Tambem
Awe Temor-Veneracao-Espanto
Income Rendimento-Receita
Also AlemDisso-Tambem
Allow Aceitar-Conceder-Permitir
Unrest Agitacao-Inquietacao
Due Duvida-Obrigacao
Despite ApesarDe
Evolve Evoluir-Desenvolver
Bigotry Intolerancia
Chantry Capela
Freight Carga-Fardo-Frete
Weird Estranho-Bizarro-Esquisito
Guests Convidados-Hospedes
Bath Banho-Banheira-Lavar
Tight Apertado-Estreito-Justo
Addicted Viciado
Sworn Jurado
Stuff Coisa
Cheer Torcer
Improve Melhorar-Aperfeicoar
Wallet Carteira
Meal Refeicao
Entrepreneur Empreendedor
Bury Enterrar-Sepultar
Depth Profundidade
Clever Esperto
Mess Bagunca
Wish Desejo
Breed Procriar-Raca-Especie
Harsh Severo-Duro-Aspero-Grosseiro
Courtship Namoro
Hatched Nascer-Chocar-Incubar
Shouting Gritando
Lobby Corredor-Alpendre
Guest Convidado
Tarnish Manchar
Entire Inteiro-Todo
Effort Esforco-Empenho-Dedicacao
wiped Limpo
Plot O-enrredo_A-Trama_A-conspiracao
Halted Interrompido
Shattering Estilhacando-Quebrando-Destruindo
Boundaries Limites-Fronteiras
Squeeze Apertado_Compressao
Willing Disposto
Regrets Arrependimentos
Reach Alcance_Alcancar
Flip-Flops Chinelos
Awkward Constrangimento-Vergonha-Desconfortavel
Unforgettable Inesquecivel
Gorgeous Bonito-Elegante
Stairs Escadas
Roof Cobertura
Shouting Gritando
Laughs Ri
Stuff Coisa
Brides Noivas
Worst Pior
Ever Sempre
All-of-it Tudo-isso
Dirty Sujo
Trip Viagem
Won't-be Nao-Serei-Estarei
Brought Trouxe
Clown Palhaco
Robber Ladrao
Rent Alugar
Twins Gemeos
Attic Sotao
Big-Hurry Muita-Preca
Mud Lama-Barro
Deserve-it Merece-isso
Pint Cerveja
Wore Usei
Already-gone Ja-foi
Tell-Tale Delator
Kind Bom_Tipo
Louder Mais-Alto
Pillow Travesseiro
Smell Cheiro
Tiny Minusculo-pequeno
Thirsty Sedento
Owns Nosso
Whispering Sussurrando
Instead Ao-contrario_Em-vez-disso
Fancy Chique_Extravagante
I-bet Eu-aposto
Stepped Pisou
Hallway Corredor
Mad Louco_Doido
Scissor Tesoura
Aisles Corredores
Jealous Ciume_Inveja
Jogs Caminhar
Parked Estacionado
Toward Em-direcao-ao-(a)
Proud Orgulhoso
Advice Conselho
Essay Redacao
Wage Salario
Slavery Escravidao
Knocked-them-over Derrubei-elas/eles
Dishes Pratos
Spare-key Chave-reserva
Couch Sofa
Corner Canto
Clues Pistas
Tears-Up Rasga
Wedding Casamento
Bridesmaid Madrinha-de-casamento
Jewelry Joia
Con-artist Golpista
Since Desde-a-(o)
It's-worth-it Vale-a-pena
High-heels Salto-alto
Worse Pior
Disguise Disfarce
Furniture Mobilia
Doubts Duvidas
Allowing permitir
Frightened Amedrontado
Faint Desmaiar
Deer Cervo
Owed Devia
Upset Chateado
Useless inutil
Sentence Frase
Foreground Primeiro-Plano
Background Segundo-Plano
Behavior Comportamento
Device Dispositivo
Pattern Padronizar_O-modelo_O-exemplo
